subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,1,hello,həˈləʊ,你好,int.,"""Hello, I am Amy.""",你好，我是艾米。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,2,hi,haɪ,嗨,int.,"""Hi, Tom!""",嗨，汤姆！
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,3,name,neɪm,名字,n.,My name is Sam.,我的名字叫萨姆。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,4,friend,frend,朋友,n.,This is my friend.,这是我的朋友。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,5,nice,naɪs,令人愉快的,adj.,Nice to meet you.,见到你很高兴。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,6,meet,miːt,遇见,v.,Nice to meet you.,见到你很高兴。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,7,my,maɪ,我的,pron.,This is my bag.,这是我的书包。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,8,your,jɔː(r),你的,pron.,What is your name?,你叫什么名字？
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,9,I,aɪ,我,pron.,I am six.,我六岁了。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,10,you,juː,你,pron.,How are you?,你好吗？
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,11,am,æm,是（用于 I）,v.,I am a boy.,我是一个男孩。
英语,词汇,人教版 PEP,三年级上册,Unit 1 Making friends,12,goodbye,ˌɡʊdˈbaɪ,再见,int.,"""Goodbye, friends!""",再见，朋友们！
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,1,family,ˈfæməli,家庭,n.,This is my family.,这是我的家庭。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,2,father,ˈfɑːðə(r),父亲,n.,My father is tall.,我爸爸很高。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,3,mother,ˈmʌðə(r),母亲,n.,My mother is kind.,我妈妈很温柔。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,4,brother,ˈbrʌðə(r),兄；弟,n.,My brother is little.,我弟弟很小。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,5,sister,ˈsɪstə(r),姐；妹,n.,My sister is cute.,我妹妹很可爱。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,6,grandfather,ˈɡrænfɑːðə(r),祖父,n.,My grandfather is old.,我爷爷年纪大了。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,7,grandmother,ˈɡrænmʌðə(r),祖母,n.,I love my grandmother.,我爱我的奶奶。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,8,uncle,ˈʌŋkl,叔叔,n.,My uncle is funny.,我叔叔很有趣。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,9,aunt,ɑːnt,姑姑；阿姨,n.,My aunt is nice.,我姑姑很好。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,10,cousin,ˈkʌzn,堂（表）兄弟姐妹,n.,My cousin is five.,我表弟五岁。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,11,me,miː,我（宾格）,pron.,Look at me.,看我。
英语,词汇,人教版 PEP,三年级上册,Unit 2 Different families,12,love,lʌv,爱,v.,I love my family.,我爱我的家。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,1,animal,ˈænɪml,动物,n.,I like animals.,我喜欢动物。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,2,dog,dɒɡ,狗,n.,The dog is cute.,这只狗很可爱。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,3,cat,kæt,猫,n.,The cat is small.,这只猫很小。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,4,bird,bɜːd,鸟,n.,The bird can fly.,鸟会飞。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,5,fish,fɪʃ,鱼,n.,The fish can swim.,鱼会游泳。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,6,rabbit,ˈræbɪt,兔子,n.,The rabbit is white.,这只兔子是白色的。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,7,duck,dʌk,鸭子,n.,The duck says quack.,鸭子嘎嘎叫。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,8,pig,pɪɡ,猪,n.,The pig is fat.,这头猪很胖。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,9,tiger,ˈtaɪɡə(r),老虎,n.,The tiger is strong.,老虎很强壮。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,10,lion,ˈlaɪən,狮子,n.,The lion is big.,狮子很大。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,11,panda,ˈpændə,熊猫,n.,The panda is lovely.,熊猫很可爱。
英语,词汇,人教版 PEP,三年级上册,Unit 3 Amazing animals,12,like,laɪk,喜欢,v.,I like pandas.,我喜欢熊猫。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,1,plant,plɑːnt,植物,n.,The plant is green.,这株植物是绿色的。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,2,flower,ˈflaʊə(r),花,n.,The flower is red.,这朵花是红色的。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,3,tree,triː,树,n.,The tree is tall.,这棵树很高。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,4,grass,ɡrɑːs,草,n.,The grass is soft.,草很柔软。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,5,leaf,liːf,叶子,n.,The leaf is yellow.,这片叶子是黄色的。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,6,seed,siːd,种子,n.,A seed grows into a plant.,种子长成植物。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,7,water,ˈwɔːtə(r),水；浇水,n./v.,Plants need water.,植物需要水。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,8,sun,sʌn,太阳,n.,Plants need the sun.,植物需要阳光。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,9,grow,ɡrəʊ,生长；种植,v.,Flowers grow in spring.,花在春天生长。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,10,garden,ˈɡɑːdn,花园,n.,Our garden is beautiful.,我们的花园很美。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,11,green,ɡriːn,绿色的,adj.,The leaves are green.,叶子是绿色的。
英语,词汇,人教版 PEP,三年级上册,Unit 4 Plants around us,12,park,pɑːk,公园,n.,We play in the park.,我们在公园里玩。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,1,colour,ˈkʌlə(r),颜色,n.,What colour is it?,它是什么颜色？
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,2,red,red,红色的,adj.,The apple is red.,苹果是红色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,3,yellow,ˈjeləʊ,黄色的,adj.,The banana is yellow.,香蕉是黄色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,4,blue,bluː,蓝色的,adj.,The sky is blue.,天空是蓝色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,5,green,ɡriːn,绿色的,adj.,The tree is green.,树是绿色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,6,black,blæk,黑色的,adj.,The cat is black.,这只猫是黑色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,7,white,waɪt,白色的,adj.,The cloud is white.,云是白色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,8,orange,ˈɒrɪndʒ,橙色的；橙子,adj./n.,The orange is orange.,橙子是橙色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,9,purple,ˈpɜːpl,紫色的,adj.,The grape is purple.,葡萄是紫色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,10,brown,braʊn,棕色的,adj.,The bear is brown.,熊是棕色的。
英语,词汇,人教版 PEP,三年级上册,Unit 5 The colourful world,11,pink,pɪŋk,粉色的,adj.,The flower is pink.,这朵花是粉色的。
