subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,1,guitar,ɡɪˈtɑː(r),吉他,n.,I can play the guitar.,我会弹吉他。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,2,sing,sɪŋ,唱歌,v.,She sings very well.,她唱歌很好听。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,3,swim,swɪm,游泳,v.,Can you swim?,你会游泳吗？
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,4,dance,dɑːns,跳舞,v.,The girls dance beautifully.,女孩们舞跳得很美。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,5,draw,drɔː,画画,v.,He draws pictures every day.,他每天画画。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,6,chess,tʃes,国际象棋,n.,I often play chess with my grandpa.,我经常和爷爷下象棋。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,7,speak,spiːk,说（某种语言）,v.,She can speak English well.,她英语说得很好。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,8,join,dʒɔɪn,加入,v.,I want to join the music club.,我想加入音乐社团。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,9,club,klʌb,社团；俱乐部,n.,Our school has many clubs.,我们学校有很多社团。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,10,story,ˈstɔːri,故事,n.,Grandma tells me stories.,奶奶给我讲故事。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,11,show,ʃəʊ,演出；节目,n.,The school show is great.,学校的演出很棒。
英语,词汇,人教版 PEP,七年级下册,Unit 1 Can you play the guitar?,12,drum,drʌm,鼓,n.,He plays the drums in the band.,他在乐队打鼓。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,1,usually,ˈjuːʒuəli,通常,adv.,I usually get up at six.,我通常六点起床。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,2,shower,ˈʃaʊə(r),淋浴,n./v.,I take a shower every morning.,我每天早晨淋浴。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,3,brush,brʌʃ,刷；刷子,v./n.,I brush my teeth twice a day.,我每天刷两次牙。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,4,tooth,tuːθ,牙齿,n.,Brush your teeth well.,好好刷牙。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,5,early,ˈɜːli,早,adj./adv.,I go to bed early.,我很早睡觉。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,6,job,dʒɒb,工作；职业,n.,My mother has a good job.,我妈妈有一份好工作。
英语,词汇,人教版 PEP,七年级下册,Unit 2 What time do you go to school?,7,work,wɜːk,工作,v./n.,My father works at a radio station.,我爸爸在电台工作。
