subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,1,get up,ɡet ʌp,起床,phr.,I get up at seven.,我七点起床。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,2,eat breakfast,iːt ˈbrekfəst,吃早餐,phr.,I eat breakfast at home.,我在家吃早餐。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,3,have class,hæv klɑːs,上课,phr.,We have class at nine.,我们九点上课。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,4,play sports,pleɪ spɔːts,做运动,phr.,I play sports after school.,我放学后做运动。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,5,do morning exercises,duː ˈmɔːnɪŋ ˈeksəsaɪzɪz,做早操,phr.,We do morning exercises at eight.,我们八点做早操。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,6,eat dinner,iːt ˈdɪnə(r),吃晚餐,phr.,We eat dinner together.,我们一起吃晚餐。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,7,clean my room,kliːn maɪ ruːm,打扫我的房间,phr.,I clean my room on Saturday.,我星期六打扫房间。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,8,go for a walk,ɡəʊ fɔːr ə wɔːk,去散步,phr.,I go for a walk after dinner.,我晚饭后去散步。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,9,go shopping,ɡəʊ ˈʃɒpɪŋ,去购物,phr.,Mum goes shopping on Sunday.,妈妈星期天去购物。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,10,take a dancing class,teɪk ə ˈdɑːnsɪŋ klɑːs,上舞蹈课,phr.,She takes a dancing class on Saturday.,她星期六上舞蹈课。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,11,usually,ˈjuːʒuəli,通常,adv.,I usually get up early.,我通常起得早。
英语,词汇,人教版 PEP,五年级下册,Unit 1 My day,12,often,ˈɒfn,经常,adv.,I often read books at night.,我经常晚上看书。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,1,spring,sprɪŋ,春天,n.,Spring is warm.,春天很温暖。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,2,summer,ˈsʌmə(r),夏天,n.,Summer is hot.,夏天很热。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,3,autumn,ˈɔːtəm,秋天,n.,Autumn is cool.,秋天很凉爽。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,4,winter,ˈwɪntə(r),冬天,n.,Winter is cold.,冬天很冷。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,5,season,ˈsiːzn,季节,n.,My favourite season is spring.,我最喜欢的季节是春天。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,6,favourite,ˈfeɪvərɪt,最喜欢的,adj.,What is your favourite season?,你最喜欢哪个季节？
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,7,snow,snəʊ,雪,n.,I like snow.,我喜欢雪。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,8,flower,ˈflaʊə(r),花,n.,Flowers come out in spring.,花在春天开放。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,9,swim,swɪm,游泳,v.,I swim in summer.,我夏天游泳。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,10,fly kites,flaɪ kaɪts,放风筝,phr.,We fly kites in spring.,我们春天放风筝。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,11,picnic,ˈpɪknɪk,野餐,n.,We have a picnic in autumn.,我们秋天去野餐。
英语,词汇,人教版 PEP,五年级下册,Unit 2 My favourite season,12,beautiful,ˈbjuːtɪfl,美丽的,adj.,The season is beautiful.,这个季节很美。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,1,January,ˈdʒænjuəri,一月,n.,January is cold.,一月很冷。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,2,February,ˈfebruəri,二月,n.,February is short.,二月很短。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,3,March,mɑːtʃ,三月,n.,March is warm.,三月很暖和。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,4,April,ˈeɪprəl,四月,n.,April has thirty days.,四月有三十天。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,5,May,meɪ,五月,n.,May Day is in May.,劳动节在五月。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,6,June,dʒuːn,六月,n.,Children's Day is in June.,儿童节在六月。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,7,July,dʒuˈlaɪ,七月,n.,Summer holiday starts in July.,暑假七月开始。
英语,词汇,人教版 PEP,五年级下册,Unit 3 My school calendar,8,August,ˈɔːɡəst,八月,n.,August is hot.,八月很热。
