subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,1,anyone,ˈeniwʌn,任何人,pron.,Did you go with anyone?,你和别人一起去的吗？
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,2,anywhere,ˈeniweə(r),任何地方,adv.,Did you go anywhere interesting?,你去了什么有趣的地方吗？
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,3,wonderful,ˈwʌndəfl,精彩的；绝妙的,adj.,The vacation was wonderful.,假期很精彩。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,4,few,fjuː,很少；几乎没有,adj.,Few people were there.,那里几乎没有人。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,5,most,məʊst,大多数；最,adj./adv.,Most students like sports.,大多数学生喜欢运动。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,6,something,ˈsʌmθɪŋ,某事；某物,pron.,I have something to tell you.,我有事要告诉你。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,7,nothing,ˈnʌθɪŋ,没有什么,pron.,There is nothing to do.,没什么可做的。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,8,everyone,ˈevriwʌn,每人；人人,pron.,Everyone had a good time.,每个人都玩得很开心。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,9,myself,maɪˈself,我自己,pron.,I went there by myself.,我自己去的那里。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,10,seem,siːm,似乎；好像,v.,You seem very happy.,你看起来很开心。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,11,umbrella,ʌmˈbrelə,雨伞,n.,Take an umbrella with you.,随身带把伞。
英语,词汇,人教版 PEP,八年级上册,Unit 1 Where did you go on vacation?,12,wet,wet,湿的；多雨的,adj.,The ground is wet after rain.,雨后地面是湿的。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,1,housework,ˈhaʊswɜːk,家务,n.,I often help with housework.,我经常帮忙做家务。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,2,hardly,ˈhɑːdli,几乎不,adv.,He hardly ever watches TV.,他几乎不看电视。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,3,ever,ˈevə(r),曾经,adv.,Do you ever go camping?,你曾经去露营过吗？
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,4,once,wʌns,一次；曾经,adv.,I exercise once a week.,我每周锻炼一次。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,5,twice,twaɪs,两次,adv.,I brush my teeth twice a day.,我每天刷两次牙。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,6,Internet,ˈɪntənet,互联网,n.,He uses the Internet every day.,他每天上网。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,7,program,ˈprəʊɡræm,节目；程序,n.,This program is boring.,这个节目很无聊。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,8,full,fʊl,满的；饱的,adj.,The basket is full of eggs.,篮子装满了鸡蛋。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,9,swing,swɪŋ,秋千；摆动,n./v.,The kids are playing on the swing.,孩子们在荡秋千。
英语,词汇,人教版 PEP,八年级上册,Unit 2 How often do you exercise?,10,maybe,ˈmeɪbi,也许；可能,adv.,Maybe he is at home.,也许他在家。
