subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,1,old,əʊld,年老的,adj.,My grandfather is old.,我爷爷年纪大了。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,2,young,jʌŋ,年轻的,adj.,Our teacher is young.,我们的老师很年轻。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,3,funny,ˈfʌni,滑稽的,adj.,He is very funny.,他很滑稽。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,4,kind,kaɪnd,和蔼的,adj.,She is kind to us.,她对我们很和蔼。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,5,strict,strɪkt,严格的,adj.,Our teacher is strict.,我们的老师很严格。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,6,polite,pəˈlaɪt,有礼貌的,adj.,The boy is polite.,这个男孩很有礼貌。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,7,hard-working,ˌhɑːd ˈwɜːkɪŋ,勤奋的,adj.,She is hard-working.,她很勤奋。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,8,helpful,ˈhelpfl,乐于助人的,adj.,He is always helpful.,他总是乐于助人。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,9,clever,ˈklevə(r),聪明的,adj.,The clever boy answers quickly.,聪明的男孩回答很快。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,10,shy,ʃaɪ,害羞的,adj.,The little girl is shy.,小女孩很害羞。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,11,friendly,ˈfrendli,友好的,adj.,They are friendly to me.,他们对我很友好。
英语,词汇,人教版 PEP,五年级上册,Unit 1 What's he like?,12,quiet,ˈkwaɪət,安静的,adj.,Please keep quiet.,请保持安静。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,1,Monday,ˈmʌndeɪ,星期一,n.,I go to school on Monday.,我星期一去上学。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,2,Tuesday,ˈtjuːzdeɪ,星期二,n.,We have PE on Tuesday.,我们星期二有体育课。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,3,Wednesday,ˈwenzdeɪ,星期三,n.,Wednesday is busy.,星期三很忙。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,4,Thursday,ˈθɜːzdeɪ,星期四,n.,I have music on Thursday.,我星期四有音乐课。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,5,Friday,ˈfraɪdeɪ,星期五,n.,Friday is my favourite day.,星期五是我最喜欢的一天。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,6,Saturday,ˈsætədeɪ,星期六,n.,I play football on Saturday.,我星期六踢足球。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,7,Sunday,ˈsʌndeɪ,星期日,n.,Sunday is a rest day.,星期日是休息日。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,8,weekend,ˌwiːkˈend,周末,n.,I visit my grandpa on the weekend.,我周末去看爷爷。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,9,wash,wɒʃ,洗,v.,I wash my clothes on Sunday.,我星期天洗衣服。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,10,watch,wɒtʃ,观看,v.,I watch TV on Saturday evening.,我星期六晚上看电视。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,11,read,riːd,读；阅读,v.,I read books every day.,我每天读书。
英语,词汇,人教版 PEP,五年级上册,Unit 2 My week,12,play,pleɪ,玩；踢；打,v.,I play basketball after school.,我放学后打篮球。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,1,would like,wʊd laɪk,想要,phr.,I would like some water.,我想要一些水。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,2,sandwich,ˈsænwɪtʃ,三明治,n.,I would like a sandwich.,我想要一个三明治。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,3,salad,ˈsæləd,沙拉,n.,The salad is fresh.,沙拉很新鲜。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,4,hamburger,ˈhæmbɜːɡə(r),汉堡包,n.,He likes hamburgers.,他喜欢汉堡包。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,5,ice cream,ˌaɪs ˈkriːm,冰淇淋,n.,Ice cream is sweet.,冰淇淋很甜。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,6,tea,tiː,茶,n.,My grandpa drinks tea.,我爷爷喝茶。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,7,fresh,freʃ,新鲜的,adj.,The vegetables are fresh.,蔬菜很新鲜。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,8,healthy,ˈhelθi,健康的,adj.,Fruit is healthy.,水果很健康。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,9,delicious,dɪˈlɪʃəs,美味的,adj.,The food is delicious.,食物很美味。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,10,hot,hɒt,热的；辣的,adj.,The soup is hot.,汤很烫。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,11,sweet,swiːt,甜的,adj.,The cake is sweet.,蛋糕很甜。
英语,词汇,人教版 PEP,五年级上册,Unit 3 What would you like?,12,drink,drɪŋk,喝；饮料,v./n.,I drink water every day.,我每天喝水。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,1,can,kæn,能；会,modal,I can swim.,我会游泳。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,2,sing,sɪŋ,唱歌,v.,She can sing well.,她唱歌很好。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,3,dance,dɑːns,跳舞,v.,They can dance.,他们会跳舞。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,4,draw,drɔː,画画,v.,I can draw cartoons.,我会画漫画。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,5,cook,kʊk,做饭,v.,My mum can cook well.,我妈妈做饭很好吃。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,6,swim,swɪm,游泳,v.,I can swim fast.,我游泳很快。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,7,play basketball,pleɪ ˈbɑːskɪtbɔːl,打篮球,phr.,He can play basketball.,他会打篮球。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,8,play football,pleɪ ˈfʊtbɔːl,踢足球,phr.,We play football after school.,我们放学后踢足球。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,9,speak English,spiːk ˈɪŋɡlɪʃ,说英语,phr.,I can speak English.,我会说英语。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,10,do kung fu,duː kʌŋ ˈfuː,练功夫,phr.,He can do kung fu.,他会练功夫。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,11,play the pipa,pleɪ ðə pɪˈpɑː,弹琵琶,phr.,She can play the pipa.,她会弹琵琶。
英语,词汇,人教版 PEP,五年级上册,Unit 4 What can you do?,12,cartoon,kɑːˈtuːn,漫画；卡通,n.,I draw cartoons on Saturday.,我星期六画漫画。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,1,clock,klɒk,时钟,n.,The clock is on the wall.,时钟在墙上。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,2,plant,plɑːnt,植物,n.,The plant is near the window.,植物在窗边。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,3,bottle,ˈbɒtl,瓶子,n.,The bottle is full.,瓶子是满的。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,4,bike,baɪk,自行车,n.,My bike is new.,我的自行车是新的。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,5,photo,ˈfəʊtəʊ,照片,n.,The photo is nice.,这张照片很好看。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,6,front,frʌnt,前面,n.,The garden is in front of the house.,花园在房子前面。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,7,between,bɪˈtwiːn,在……之间,prep.,The cat is between the boxes.,猫在盒子之间。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,8,above,əˈbʌv,在……上方,prep.,The photo is above the bed.,照片在床的上方。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,9,beside,bɪˈsaɪd,在……旁边,prep.,The plant is beside the window.,植物在窗户旁边。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,10,behind,bɪˈhaɪnd,在……后面,prep.,The ball is behind the door.,球在门后面。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,11,water bottle,ˈwɔːtə ˈbɒtl,水瓶,n.,My water bottle is blue.,我的水瓶是蓝色的。
英语,词汇,人教版 PEP,五年级上册,Unit 5 There is a big bed,12,curtain,ˈkɜːtn,窗帘,n.,The curtain is beautiful.,窗帘很漂亮。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,1,nature,ˈneɪtʃə(r),自然,n.,I love nature.,我热爱大自然。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,2,park,pɑːk,公园,n.,The nature park is big.,自然公园很大。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,3,forest,ˈfɒrɪst,森林,n.,The forest is quiet.,森林很安静。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,4,hill,hɪl,小山,n.,There is a hill near my home.,我家附近有一座小山。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,5,river,ˈrɪvə(r),河,n.,The river is long.,这条河很长。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,6,lake,leɪk,湖,n.,The lake is clean.,湖很清澈。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,7,mountain,ˈmaʊntən,高山,n.,The mountain is high.,这座山很高。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,8,village,ˈvɪlɪdʒ,村庄,n.,My village is small.,我的村庄很小。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,9,house,haʊs,房子,n.,The house is big.,这栋房子很大。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,10,tree,triː,树,n.,There are many trees.,有很多树。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,11,bridge,brɪdʒ,桥,n.,The bridge is old.,这座桥很老。
英语,词汇,人教版 PEP,五年级上册,Unit 6 In a nature park,12,building,ˈbɪldɪŋ,建筑物,n.,The building is tall.,这栋建筑很高。
