subject,path,textbook,semester,chapter,order,word,ipa,meaning,partOfSpeech,example,translation
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,1,welcome,ˈwelkəm,欢迎,v./int.,Welcome back to school!,欢迎回到学校！
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,2,back,bæk,回来；向后,adv.,Welcome back!,欢迎回来！
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,3,school,skuːl,学校,n.,I go to school every day.,我每天去上学。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,4,student,ˈstjuːdnt,学生,n.,I am a student.,我是一名学生。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,5,teacher,ˈtiːtʃə(r),老师,n.,The teacher is nice.,这位老师很好。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,6,new,njuː,新的,adj.,I have a new friend.,我有一个新朋友。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,7,where,weə(r),哪里,adv.,Where are you from?,你来自哪里？
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,8,from,frɒm,来自,prep.,I am from China.,我来自中国。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,9,China,ˈtʃaɪnə,中国,n.,I love China.,我爱中国。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,10,UK,ˌjuː ˈkeɪ,英国,n.,He is from the UK.,他来自英国。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,11,USA,ˌjuː es ˈeɪ,美国,n.,She is from the USA.,她来自美国。
英语,词汇,人教版 PEP,三年级下册,Unit 1 Welcome back to school,12,friend,frend,朋友,n.,We are good friends.,我们是好朋友。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,1,family,ˈfæməli,家庭,n.,Look at my family.,看我的家庭。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,2,dad,dæd,爸爸（口语）,n.,My dad is strong.,我爸爸很强壮。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,3,mum,mʌm,妈妈（口语）,n.,My mum is beautiful.,我妈妈很漂亮。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,4,man,mæn,男人,n.,The man is my father.,那个男人是我爸爸。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,5,woman,ˈwʊmən,女人,n.,The woman is my mother.,那个女人是我妈妈。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,6,brother,ˈbrʌðə(r),兄；弟,n.,My brother is funny.,我弟弟很搞笑。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,7,sister,ˈsɪstə(r),姐；妹,n.,My sister is a pupil.,我妹妹是小学生。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,8,grandfather,ˈɡrænfɑːðə(r),祖父,n.,My grandfather likes tea.,我爷爷喜欢喝茶。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,9,grandmother,ˈɡrænmʌðə(r),祖母,n.,My grandmother tells stories.,我奶奶会讲故事。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,10,grandpa,ˈɡrænpɑː,爷爷（口语）,n.,Grandpa is watching TV.,爷爷在看电视。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,11,grandma,ˈɡrænmɑː,奶奶（口语）,n.,Grandma is cooking.,奶奶在做饭。
英语,词汇,人教版 PEP,三年级下册,Unit 2 My family,12,who,huː,谁,pron.,Who is that man?,那个男人是谁？
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,1,zoo,zuː,动物园,n.,We go to the zoo.,我们去动物园。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,2,elephant,ˈelɪfənt,大象,n.,The elephant is big.,大象很大。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,3,panda,ˈpændə,熊猫,n.,The panda is fat.,熊猫很胖。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,4,tiger,ˈtaɪɡə(r),老虎,n.,The tiger runs fast.,老虎跑得快。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,5,monkey,ˈmʌŋki,猴子,n.,The monkey is funny.,猴子很滑稽。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,6,giraffe,dʒəˈrɑːf,长颈鹿,n.,The giraffe is tall.,长颈鹿很高。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,7,bear,beə(r),熊,n.,The bear is strong.,熊很强壮。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,8,big,bɪɡ,大的,adj.,The elephant is big.,大象很大。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,9,small,smɔːl,小的,adj.,The mouse is small.,老鼠很小。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,10,long,lɒŋ,长的,adj.,The snake is long.,蛇很长。
英语,词汇,人教版 PEP,三年级下册,Unit 3 At the zoo,11,short,ʃɔːt,短的；矮的,adj.,The rabbit is short.,兔子很矮。
